Model,Val AUC,Val Bal Acc,Val Acc,Test AUC,Test Bal Acc,Test Acc
Gradient Boosting,0.7842105263157895,0.5210526315789473,0.7083333333333334,0.42105263157894735,0.42105263157894735,0.6666666666666666
Hist Gradient Boosting,0.7578947368421053,0.7157894736842105,0.6666666666666666,0.31578947368421056,0.3631578947368421,0.4583333333333333
Extra Trees,0.7578947368421053,0.7421052631578948,0.7083333333333334,0.37894736842105264,0.2894736842105263,0.4583333333333333
Logistic Regression,0.7526315789473684,0.7105263157894737,0.5416666666666666,0.6,0.5368421052631579,0.5
Random Forest,0.7315789473684211,0.49473684210526314,0.6666666666666666,0.3105263157894737,0.34210526315789475,0.5416666666666666
Bernoulli Naive Bayes,0.7105263157894737,0.5,0.7916666666666666,0.5578947368421052,0.6,0.8333333333333334
K-Nearest Neighbors,0.6421052631578947,0.5210526315789473,0.7083333333333334,0.38421052631578945,0.39473684210526316,0.625
AdaBoost,0.631578947368421,0.5,0.7916666666666666,0.5473684210526316,0.5,0.7916666666666666
Support Vector Machine (RBF),0.20526315789473687,0.5,0.7916666666666666,0.631578947368421,0.5,0.7916666666666666
